,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Beijing,266404,268273,283366,306789,310568,305510,302269,309912,318874,325117,332959,288298,321585,386511,453446,510055,525844,512351,473422
Tianjin,262243,256383,261474,267214,260710,256541,261954,273408,287031,303492,320840,335783,359110,400568,432505,447288,450938,446430,428334
Hebei,2600675,2436810,2361330,2288195,2088470,2173677,2150335,2212343,2418637,2741801,3062442,3368253,3704263,4035302,4294874,4332543,4213686,4117058,3844420
Shanxi,1082430,1092739,1126849,1218952,1291442,1502433,1643113,1713779,1726832,1772798,1851469,1892237,1897840,1927068,1932486,1830745,1740518,1660337,1590282
Neimenggu,618655,612376,639648,669657,688464,746308,791411,814686,832216,862276,918851,990473,1031241,1092223,1123586,1128267,1085032,1040857,995456
Liaoning,963450,978298,1012944,1055661,1057488,1134585,1195997,1272295,1359494,1437573,1478469,1499946,1570269,1675350,1808303,1880118,1859905,1737624,1562444
Jilin,618704,604277,595518,622883,644993,696588,751532,817462,869037,905738,941553,977306,1057933,1148001,1196226,1222597,1201895,1168514,1094484
Heilongjiang,903983,903883,899803,916293,932839,1204786,1223979,1290892,1338839,1393338,1462655,1559789,1695823,1863607,1987827,2147936,2158178,2158672,2046920
Shanghai,411712,413298,412345,426789,436696,432686,430585,425463,426081,425141,427037,440011,466962,522475,463261,523521,557948,562129,539780
Jiangsu,2086934,1949456,1867166,1852029,1857469,1970169,2111249,2329518,2562224,2782784,2981844,3187076,3462294,3677793,3703519,3524050,3246164,2934647,2666953
Zhejiang,1558460,1504118,1479353,1499062,1482649,1492985,1546002,1671286,1767195,1849851,1794725,1729981,1710877,1800749,1919386,2015585,2028231,1941184,1786620
Anhui,2021627,1941986,1900786,1924134,1997091,2130347,2498800,2789866,2974241,3098582,3217399,3414456,3439620,3540957,3383157,3239091,3083280,3041774,2944687
Fujian,1215717,1154758,1133458,1125729,1108226,1120356,1157266,1275763,1415209,1512936,1560270,1650310,1769284,1861259,1896759,1899852,1942569,1962632,1973559
Jiangxi,1910421,1802080,1763985,1750083,1754361,1945486,2009641,1999946,1892398,1744883,1697941,1807153,2012287,2178942,2286573,2284226,2246158,2206902,2146164
Shandong,3294601,3159129,3108127,3147954,3179800,3281023,3451577,3485570,3418475,3337815,3368280,3608673,3959117,4392406,4852715,5422262,5780665,5699640,5264908
Henan,4291617,4158272,4048103,3993606,3850493,4537868,4679780,4694044,4742528,4841994,5072021,5406380,5698301,5906674,6040927,6077986,5886532,5629942,5077959
Hubei,1487131,1414864,1365319,1375940,1483710,1577701,2040702,2180937,2363351,2612455,2840700,3010769,3172392,3319842,3341801,3224319,2997821,2810909,2587432
Hunan,2296294,2260603,2224138,2206344,2142847,2111100,2163402,2149204,2143515,2143743,2235833,2489107,2972610,3528584,3822026,3754394,3503279,3291607,3028566
Guangdong,3561001,3478440,3553170,3767505,4047906,4424650,4790565,5001040,5036732,4978825,4829437,4758296,4627044,4495533,4321843,4149939,4054225,3881614,3797987
Guangxi,2034632,1987540,1963062,1950844,1950761,1966202,2008317,2003911,2065476,2119362,2219760,2290412,2339138,2410467,2449891,2471312,2450923,2487034,2360700
Hainan,333342,323736,328889,337350,346790,364677,392397,421593,445840,463780,474705,475365,466186,439092,418940,397982,377803,375932,359666
Chongqing,990403,966021,960383,979386,1017592,1087258,1190197,1281724,1328175,1350451,1316698,1288052,1253778,1254784,1255823,1240367,1284945,1267003,1095743
Sichuan,2491364,2448234,2463860,2583315,2717198,3041867,3266108,3438646,3554513,3615083,3632702,3595157,3470817,3614111,3679899,3660933,3587236,3356703,2856294
Guizhou,1829870,1891411,1979699,2068326,2103033,2100850,2138054,2136599,2112917,2055674,2014110,2032209,2054382,2049364,1969955,1814034,1601444,1380966,1228515
Yunnan,1872808,1873150,1894282,1897966,1874418,1954348,2052586,2073500,2038185,2000076,1941244,1901616,1905763,1930879,1921251,1835840,1739587,1637575,1480201
Xizang,124571,120283,117520,124295,126117,130226,136371,138992,143187,139920,135995,127882,120706,109148,92060,72048,56344,43121,34756
Shaanxi,1049654,1051036,1070779,1117284,1201851,1315464,1498841,1643225,1802742,1941810,2037632,2118803,2139326,2192280,2212732,2140604,2016476,1877944,1693914
Gansu,856127,876171,909255,970919,1035940,1180171,1285392,1384027,1410974,1420194,1422734,1444489,1377671,1344797,1306024,1260298,1183272,1085210,984753
Qinghai,205814,207937,213165,211993,208095,208723,223398,219463,214883,207231,219542,224954,226991,223162,214090,200474,188597,175269,160155
Ningxia,279180,273696,274333,278323,284758,292813,299635,306755,298922,291970,283505,290375,280950,269277,268948,265488,257889,250605,237254
Xinjiang,901806,894798,907400,911477,918473,943169,976569,1003278,1027697,1064849,1115640,1170181,1153519,1158801,1133353,1066455,1003155,934273,873343
