grade,number,total
611,52,52
610,10,62
609,12,74
608,9,83
607,22,105
606,15,120
605,13,133
604,16,149
603,19,168
602,18,186
601,23,209
600,26,235
599,40,275
598,19,294
597,41,335
596,41,376
595,32,408
594,38,446
593,35,481
592,41,522
591,45,567
590,46,613
589,47,660
588,58,718
587,64,782
586,63,845
585,63,908
584,69,977
583,79,1056
582,54,1110
581,90,1200
580,73,1273
579,72,1345
578,87,1432
577,78,1510
576,82,1592
575,93,1685
574,81,1766
573,96,1862
572,95,1957
571,104,2061
570,98,2159
569,84,2243
568,106,2349
567,113,2462
566,111,2573
565,104,2677
564,140,2817
563,122,2939
562,113,3052
561,128,3180
560,140,3320
559,143,3463
558,144,3607
557,131,3738
556,145,3883
555,156,4039
554,161,4200
553,160,4360
552,148,4508
551,165,4673
550,161,4834
549,170,5004
548,162,5166
547,154,5320
546,164,5484
545,170,5654
544,178,5832
543,188,6020
542,187,6207
541,181,6388
540,171,6559
539,172,6731
538,188,6919
537,184,7103
536,186,7289
535,175,7464
534,179,7643
533,204,7847
532,171,8018
531,198,8216
530,190,8406
529,170,8576
528,198,8774
527,192,8966
526,205,9171
525,195,9366
524,215,9581
523,212,9793
522,196,9989
521,210,10199
520,206,10405
519,206,10611
518,238,10849
517,203,11052
516,227,11279
515,237,11516
514,227,11743
513,240,11983
512,199,12182
511,215,12397
510,229,12626
509,250,12876
508,246,13122
507,219,13341
506,249,13590
505,215,13805
504,239,14044
503,217,14261
502,236,14497
501,206,14703
500,236,14939
499,272,15211
498,231,15442
497,238,15680
496,258,15938
495,235,16173
494,216,16389
493,235,16624
492,245,16869
491,226,17095
490,239,17334
489,277,17611
488,262,17873
487,251,18124
486,245,18369
485,257,18626
484,223,18849
483,252,19101
482,229,19330
481,255,19585
480,230,19815
479,234,20049
478,234,20283
477,208,20491
476,248,20739
475,256,20995
474,249,21244
473,232,21476
472,215,21691
471,245,21936
470,208,22144
469,230,22374
468,221,22595
467,259,22854
466,233,23087
465,214,23301
464,225,23526
463,238,23764
462,264,24028
461,218,24246
460,214,24460
459,249,24709
458,230,24939
457,220,25159
456,281,25440
455,218,25658
454,230,25888
453,220,26108
452,198,26306
451,214,26520
450,197,26717
449,212,26929
448,192,27121
447,225,27346
446,226,27572
445,210,27782
444,208,27990
443,202,28192
442,224,28416
441,212,28628
440,222,28850
439,202,29052
438,212,29264
437,196,29460
436,199,29659
435,202,29861
434,192,30053
433,197,30250
432,182,30432
431,200,30632
430,184,30816
429,189,31005
428,174,31179
427,177,31356
426,190,31546
425,168,31714
424,182,31896
423,195,32091
422,155,32246
421,151,32397
420,170,32567
419,204,32771
418,175,32946
417,179,33125
416,160,33285
415,167,33452
414,170,33622
413,161,33783
412,126,33909
411,164,34073
410,165,34238
409,157,34395
408,175,34570
407,161,34731
406,170,34901
405,165,35066
404,156,35222
403,131,35353
402,163,35516
401,153,35669
400,141,35810
399,151,35961
398,134,36095
397,144,36239
396,131,36370
395,136,36506
394,151,36657
393,132,36789
392,142,36931
391,142,37073
390,130,37203
389,137,37340
388,147,37487
387,124,37611
386,121,37732
385,124,37856
384,123,37979
383,109,38088
382,107,38195
381,111,38306
380,101,38407
379,106,38513
378,101,
377,107,
376,120,
375,111,
374,102,
373,122,
372,91,
371,102,
370,108,
369,104,
368,107,
367,94,
366,107,
365,92,
364,89,
363,88,
362,92,
361,81,
360,88,
359,77,
358,82,
357,80,
356,74,
355,81,
354,68,
353,76,
352,75,
351,74,
350,77,
349,59,
348,54,
347,70,
346,56,
345,58,
344,74,
343,55,
342,45,
341,62,
340,63,
339,49,
338,34,
337,45,
336,48,
335,38,
334,46,
333,41,
332,55,
331,29,
330,42,
329,45,
328,35,
327,42,
326,35,
325,40,
324,27,
323,41,
322,30,
321,33,
320,32,
319,34,
318,23,
317,32,
316,21,
315,32,
314,26,
313,30,
312,28,
311,17,
310,24,
309,19,
308,23,
307,25,
306,18,
305,15,
304,14,
303,14,
302,14,
301,26,
300,21,
299,23,
298,17,
297,13,
296,9,
295,17,
294,12,
293,18,
292,16,
291,15,
290,11,
289,16,
288,10,
287,9,
286,12,
285,14,
284,7,
283,13,
282,9,
281,8,
280,12,
279,6,
278,3,
277,5,
276,4,
275,8,
274,10,
273,6,
272,10,
271,2,
270,8,
269,10,
268,5,
267,4,
266,9,
265,8,
264,9,
263,5,
262,9,
261,5,
